Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Insurance_validity,Fuel_type,Seats,Engine_displacement,Year_of_manufacture,Mileage,Max_power,Torque,Colour,Location,Features,Interior,Exterior
SUV,79012,Manual,2,Mahindra,Mahindra XUV500,2014,W8 2WD,0.5159705745390611,Comprehensive,Diesel,7,2179,2014,15.1,140.0,330,Silver,Bangalore,9,3,26
SUV,31344,Manual,1,Jeep,Jeep Compass,2021,Model S Diesel BSVI,0.5163937679101962,Comprehensive,Diesel,5,1956,2021,17.1,167.67,350,Black,Bangalore,9,2,20
Sedan,50000,Manual,1,Hyundai,Hyundai Xcent,2018,1.2 VTVT SX,0.5159395918542142,Third Party insurance,Petrol,5,1197,2018,20.14,81.86,0,Others,Bangalore,9,3,27
Hatchback,12434,Manual,1,Maruti,Maruti Wagon R,2015,VXI BS IV,0.515861534097369,Comprehensive,Petrol,5,998,2015,20.51,67.04,90,Brown,Bangalore,9,3,27
MUV,60000,Manual,2,Maruti,Maruti Ertiga,2019,ZXI Plus Petrol,0.5160298986744412,Third Party insurance,Petrol,7,1462,2019,19.34,103.0,138,Others,Bangalore,9,3,27
Sedan,12000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,Progressive C 220d,0.5168404984570638,Comprehensive,Diesel,5,1950,2019,12.6,194.0,400,White,Bangalore,9,3,29
Hatchback,40987,Manual,2,Maruti,Maruti Wagon R,2015,VXI BS IV,0.5158752239868534,Comprehensive,Petrol,5,998,2015,20.51,67.04,90,White,Bangalore,9,3,27
Sedan,18157,Automatic,1,BMW,BMW 5 Series,2020,530i Sport,0.5169701944222834,Zero Dep,Petrol,5,1998,2020,15.56,248.08,350,Blue,Bangalore,9,3,27
SUV,120000,Manual,3,Toyota,Toyota Fortuner,2011,3.0 Diesel,0.5160419075601097,Third Party insurance,Diesel,7,2982,2011,11.5,0.0,343,Others,Bangalore,9,3,28
SUV,40000,Automatic,2,Renault,Renault Duster,2020,RXZ 110PS AMT BSIV,0.5160419075601097,Third Party insurance,Diesel,5,1461,2020,19.87,108.5,245,Others,Bangalore,9,3,26
Hatchback,89667,Manual,1,Hyundai,Hyundai i20,2016,Sportz 1.2,0.5159203776371446,Comprehensive,Petrol,5,1197,2016,18.6,81.83,114,White,Bangalore,9,3,26
Hatchback,120000,Manual,1,Hyundai,Hyundai i20,2017,Asta Option 1.4 CRDi,0.5159482382518955,Third Party insurance,Diesel,5,1396,2017,22.54,88.73,219,Others,Bangalore,9,3,28
Hatchback,56997,Manual,1,Maruti,Maruti Baleno,2017,1.2 Zeta,0.5159439150530548,Zero Dep,Petrol,5,1197,2017,21.4,83.1,115,Blue,Bangalore,9,3,29
Sedan,120000,Manual,1,Hyundai,Hyundai Elantra,2013,SX,0.5159338275890933,Third Party insurance,Petrol,5,1797,2013,16.3,147.5,177,Others,Bangalore,9,3,31
Sedan,59000,Automatic,1,Audi,Audi A6,2015,35 TDI,0.5162796832561679,Third Party insurance,Diesel,5,1968,2015,18.53,187.74,400,White,Bangalore,9,3,29
Hatchback,18835,Manual,1,Maruti,Maruti Alto 800,2021,VXI Plus BSVI,0.515876425115598,Zero Dep,Petrol,5,796,2021,22.05,47.33,69,Silver,Bangalore,9,2,19
SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,SLE 7S BSIII,0.5159338275890933,Third Party insurance,Diesel,7,2179,2010,12.05,120.0,290,Gray,Bangalore,8,3,23
Hatchback,40000,Automatic,1,Mini,Mini 3 DOOR,2016,Cooper S BSVI,0.5166603651720366,Comprehensive,Petrol,4,1998,2016,17.33,189.08,280,White,Bangalore,9,3,30
Hatchback,60932,Manual,1,Tata,Tata Tiago,2019,XZ Plus,0.5159242204805585,Comprehensive,Petrol,5,1199,2019,23.84,83.83,114,Red,Bangalore,9,3,29
SUV,33539,Automatic,2,Kia,Kia Seltos,2020,GTX Plus DCT,0.5161800097452972,Comprehensive,Petrol,5,1353,2020,16.5,138.08,0,White,Bangalore,9,2,22
Hatchback,66837,Manual,2,Tata,Tata Tiago,2018,1.2 Revotron XZ WO Alloy,0.5159050062634889,Comprehensive,Petrol,5,1199,2018,23.84,84.0,114,Brown,Bangalore,9,3,28
Sedan,400,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,AMG E 350d BSVI,0.5176967320052267,Third Party,Diesel,5,2925,2022,0.0,281.61,600,White,Bangalore,9,2,23
Hatchback,60000,Manual,2,Maruti,Maruti Alto,2008,LXi,0.5158377565037454,Third Party insurance,Petrol,5,796,2008,19.7,46.3,62,Others,Bangalore,9,3,29
Hatchback,44285,Manual,1,Hyundai,Hyundai i20,2019,Magna Plus BSIV,0.5159494391404623,Third Party insurance,Petrol,5,1197,2019,18.6,81.86,0,Grey,Bangalore,9,3,24
SUV,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,350 CDI Blue Efficiency,0.5166183340721968,Third Party insurance,Diesel,7,2987,2014,11.3,254.8,619,Others,Bangalore,9,3,30
SUV,25000,Automatic,1,Tata,Tata New Safari,2021,XZA Plus 6 Str AT BSVI,0.5163181119304848,Comprehensive,Diesel,6,1956,2021,14.08,167.67,350,White,Bangalore,9,2,20
Hatchback,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Asta,0.5159278231462591,Comprehensive,Petrol,5,1197,2018,18.9,81.86,0,Blue,Bangalore,9,3,28
SUV,79000,Automatic,1,Audi,Audi Q7,2015,35 TDI Quattro Premium Plus,0.5164249910129343,Comprehensive,Diesel,7,2967,2015,12.07,241.4,550,White,Bangalore,9,3,29
SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,SLE BSIII,0.5159338275890933,Third Party insurance,Diesel,8,2179,2010,12.05,120.0,290,Gray,Bangalore,8,3,23
Hatchback,10000,Automatic,1,Renault,Renault KWID,2022,1.0 RXT AMT Opt,0.5159098098177564,Third Party insurance,Petrol,5,999,2022,22.0,67.0,91,Others,Bangalore,9,3,22
SUV,53645,Manual,1,Tata,Tata Nexon,2018,1.5 Revotorq XM,0.515975858688933,Comprehensive,Diesel,5,1497,2018,21.5,108.5,260,White,Bangalore,9,3,28
Hatchback,100000,Manual,2,Hyundai,Hyundai Getz,2006,GLS,0.5158305511723443,Third Party insurance,Petrol,5,1341,2006,15.3,0.0,115,Others,Bangalore,9,3,29
Hatchback,53982,Automatic,1,Maruti,Maruti Celerio,2014,VXI AMT,0.5158805081367253,Comprehensive,Petrol,5,998,2014,26.68,65.71,89,Others,Bangalore,8,2,20
Sedan,110000,Manual,1,Skoda,Skoda Rapid,2014,1.5 TDI Ambition With Alloy Wheel,0.515944635586195,Third Party insurance,Diesel,5,1498,2014,21.14,103.52,250,Black,Bangalore,9,3,27
SUV,37741,Manual,2,Ford,Ford Ecosport,2019,1.5 Petrol Titanium,0.5160010773488368,Third Party insurance,Petrol,5,1496,2019,15.9,120.69,149,White,Bangalore,9,3,27
Hatchback,17367,Manual,1,Maruti,Maruti Alto 800,2021,VXI Plus BSVI,0.5158869929349862,Comprehensive,Petrol,5,796,2021,22.05,47.33,69,Silver,Bangalore,9,2,19
SUV,94000,Manual,1,Hyundai,Hyundai Creta,2017,1.6 CRDi SX Plus,0.5160647244428798,Comprehensive,Diesel,5,1582,2017,19.67,126.2,259,Grey,Bangalore,9,3,26
SUV,33700,Automatic,1,Tata,Tata Harrier,2021,XZA Plus AT,0.516300098601982,Comprehensive,Diesel,5,1956,2021,14.6,167.67,350,Grey,Bangalore,9,2,20
Hatchback,54601,Manual,3,Maruti,Maruti Swift,2014,VXI,0.5158838706247124,Comprehensive,Petrol,5,1197,2014,22.38,88.5,113,White,Bangalore,9,3,20
Hatchback,110000,Manual,1,Maruti,Maruti Swift,2018,VDI,0.515943434697628,Third Party insurance,Diesel,5,1248,2018,28.4,74.0,190,Others,Bangalore,9,3,23
Hatchback,64000,Manual,2,Maruti,Maruti Celerio,2017,ZXI Optional,0.5158978009320878,Third Party,Petrol,5,998,2017,23.1,67.04,90,Red,Bangalore,9,3,31
Sedan,40525,Automatic,1,BMW,BMW 3 Series GT,2016,Luxury Line,0.516593115412293,Comprehensive,Diesel,5,1995,2016,21.76,188.0,400,White,Bangalore,9,3,28
Sedan,100000,Manual,1,Maruti,Maruti Ciaz,2015,VDi Plus,0.5159338275890933,Third Party insurance,Diesel,5,1248,2015,26.21,88.5,200,White,Bangalore,9,3,29
Hatchback,44154,Automatic,2,Honda,Honda Jazz,2016,1.2 V AT i VTEC,0.5159066875074825,Comprehensive,Petrol,5,1199,2016,19.0,88.7,110,White,Bangalore,9,3,26
MUV,70000,Manual,1,Renault,Renault Lodgy,2016,110PS RxZ 7 Seater,0.5159578453604303,Third Party insurance,Diesel,7,1461,2016,19.98,108.5,245,White,Bangalore,9,3,28
Sedan,79000,Automatic,1,Skoda,Skoda Octavia,2018,1.8 TSI AT L K,0.516207629942157,Comprehensive,Petrol,5,1798,2018,15.1,178.0,250,White,Bangalore,9,3,32
Hatchback,68039,Manual,2,Tata,Tata Tiago,2017,1.2 Revotron XT,0.5158901152452601,Third Party insurance,Petrol,5,1199,2017,23.84,84.0,114,Orange,Bangalore,9,3,28
Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,VXi,0.5158785867150183,Third Party insurance,Petrol,5,1197,2014,18.5,85.8,114,Silver,Bangalore,8,3,27
Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,VXi,0.5158785867150183,Third Party insurance,Petrol,5,1197,2014,18.5,85.8,114,Silver,Bangalore,8,3,27
Hatchback,10000,Manual,1,Hyundai,Hyundai i20,2021,Asta Turbo iMT DT,0.5159986753315254,Third Party insurance,Petrol,5,998,2021,20.0,118.36,0,Others,Bangalore,9,2,20
Sedan,49873,Manual,1,Honda,Honda City,2013,V MT,0.515905726796629,Third Party,Petrol,5,1497,2013,16.8,116.3,146,Yellow,Bangalore,9,3,24
Hatchback,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,GT TSI,0.5159818631317672,Third Party insurance,Petrol,5,1197,2013,17.2,103.6,175,Others,Bangalore,9,3,24
Sedan,48960,Manual,2,Skoda,Skoda Rapid,2017,1.5 TDI Ambition BSIV,0.5159580855381436,Third Party insurance,Diesel,5,1498,2017,21.13,108.6,250,Silver,Bangalore,9,3,27
Hatchback,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,CRDi Era,0.5158709010281904,Third Party insurance,Diesel,5,1120,2014,24.0,70.0,160,Others,Bangalore,8,3,26
Hatchback,68000,Manual,2,Hyundai,Hyundai i20,2013,Sportz 1.2,0.5158953991549542,Comprehensive,Petrol,5,1197,2013,18.5,82.85,113,Silver,Bangalore,9,2,25
SUV,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,mFALCON D75 K6,0.5158963598658076,Third Party,Diesel,6,1198,2016,25.32,77.0,190,Orange,Bangalore,9,3,26
Hatchback,83000,Manual,2,Hyundai,Hyundai i20,2013,Asta 1.4 CRDi,0.5159038053749221,Comprehensive,Diesel,5,1396,2013,21.27,88.76,219,Brown,Bangalore,9,2,25
SUV,92000,Automatic,2,BMW,BMW X3,2016,xDrive20d xLine,0.5164718256670414,Comprehensive,Diesel,5,1995,2016,16.55,187.74,400,White,Bangalore,9,2,21
Hatchback,62139,Manual,1,Maruti,Maruti Wagon R,2018,VXI Plus Optional,0.5159098098177564,Comprehensive,Petrol,5,998,2018,20.51,67.04,90,Red,Bangalore,9,3,27
Hatchback,74000,Manual,1,Hyundai,Hyundai i10,2013,Magna LPG,0.5158653769407829,Comprehensive,LPG,5,1086,2013,19.2,68.05,99,Grey,Bangalore,8,3,28
Hatchback,26500,Automatic,2,Renault,Renault KWID,2016,1.0 AMT RXT,0.5158785867150183,Comprehensive,Petrol,5,999,2016,24.04,67.0,91,Red,Bangalore,9,3,24
Sedan,81716,Automatic,1,Volvo,Volvo S60,2017,D4 KINETIC,0.5162328488422385,Comprehensive,Diesel,5,1969,2017,27.03,190.0,400,Silver,Bangalore,9,3,30
Sedan,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,E 350d,0.5172163765784874,Comprehensive,Diesel,5,2987,2018,17.0,254.8,620,White,Bangalore,9,3,28
