Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Insurance_validity,Fuel_type,Seats,Engine_displacement,Year_of_manufacture,Mileage,Max_power,Torque,Colour,Location,Features,Interior,Exterior
Hatchback,49570,Manual,1,Maruti,Maruti Swift,2014,VXI,0.5158994821760814,Comprehensive,Petrol,5,1197,2014,22.38,88.5,113,White,Bangalore,9,3,20
Sedan,23382,Automatic,2,Volkswagen,Volkswagen Vento,2018,1.2 TSI Highline AT,0.5160226931028624,Comprehensive,Petrol,5,1197,2018,18.19,103.2,175,Beige,Bangalore,9,3,31
Hatchback,42954,Manual,1,Maruti,Maruti S-Presso,2021,VXI Opt 2019-2022,0.5158910759561135,Comprehensive,Petrol,5,998,2021,21.7,67.05,90,White,Bangalore,9,3,20
Hatchback,68306,Manual,1,Maruti,Maruti Swift,2014,VXI,0.5158908357784001,Comprehensive,Petrol,5,1197,2014,22.38,88.5,113,Silver,Bangalore,9,3,20
Hatchback,54961,Manual,1,Hyundai,Hyundai i20,2018,Diesel Sportz,0.5159748979780795,Comprehensive,Diesel,5,1396,2018,22.54,88.76,0,Star Dust,Bangalore,9,3,26
Hatchback,91087,Manual,1,Maruti,Maruti Swift,2015,VXI,0.5159002024690439,Comprehensive,Petrol,5,1197,2015,22.38,88.5,113,Red,Bangalore,9,3,20
Hatchback,16691,Manual,1,Renault,Renault KWID,2022,1.0 RXT Opt,0.5159215785257114,Third Party,Petrol,5,999,2022,21.74,67.0,91,White,Bangalore,9,3,22
Hatchback,80190,Manual,1,Maruti,Maruti Wagon R,2016,VXI Optional,0.515874263276,Comprehensive,Petrol,5,998,2016,20.51,67.04,90,Brown,Bangalore,9,3,27
SUV,54639,Manual,1,Hyundai,Hyundai Creta,2017,1.6 VTVT SX Plus Dual Tone,0.5160183701441994,Third Party insurance,Petrol,5,1591,2017,15.29,121.3,151,Red,Bangalore,9,3,26
SUV,50225,Manual,1,Maruti,Maruti SX4 S Cross,2020,Zeta,0.5160118853459384,Comprehensive,Petrol,5,1462,2020,18.55,103.25,138,Grey,Bangalore,9,2,23
Hatchback,68017,Manual,1,Hyundai,Hyundai i20,2018,Asta Option Diesel,0.515968653357532,Comprehensive,Diesel,5,1396,2018,22.54,88.76,0,Blue,Bangalore,9,3,28
Hatchback,87912,Manual,1,Volkswagen,Volkswagen Polo,2016,1.2 MPI Highline,0.5159098098177564,Comprehensive,Petrol,5,1199,2016,16.2,74.0,110,Flash Red,Bangalore,9,3,31
SUV,2045,Manual,1,Tata,Tata Nexon,2021,XZ Plus (O) BSVI,0.5160894627473569,Third Party insurance,Petrol,5,1199,2021,17.57,118.36,0,Black,Bangalore,9,2,20
SUV,24305,Manual,1,Maruti,Maruti SX4 S Cross,2021,Zeta,0.5160383048944092,Third Party insurance,Petrol,5,1462,2021,18.55,103.25,138,Blue,Bangalore,9,2,23
Hatchback,2500,Automatic,1,Tata,Tata Nano,2015,Twist XTA,0.5158581716093819,Comprehensive,Petrol,4,624,2015,25.4,37.5,51,Purple,Bangalore,9,3,26
SUV,31489,Automatic,1,Tata,Tata Nexon,2020,XZA Plus AMT BSVI,0.5160440691595299,Third Party insurance,Petrol,5,1199,2020,17.05,118.35,170,Blue,Bangalore,9,3,20
Sedan,82268,Manual,2,Fiat,Fiat Linea,2014,T-Jet,0.5158617742750824,Not Available,Petrol,5,1368,2014,14.6,112.0,207,Golden,Bangalore,9,3,21
SUV,73834,Manual,1,Ford,Ford Ecosport,2019,1.5 Diesel Titanium BSIV,0.5159926708886912,Third Party insurance,Diesel,5,1498,2019,23.0,98.96,205,Black,Bangalore,9,3,27
SUV,73000,Manual,2,Toyota,Toyota Fortuner,2014,4x2 Manual,0.5162040275166342,Comprehensive,Diesel,7,2982,2014,13.0,168.5,343,Grey,Bangalore,9,3,29
Hatchback,41436,Manual,1,Maruti,Maruti Celerio,2017,VXI Optional MT BSIV,0.5158896348898333,Comprehensive,Petrol,5,998,2017,23.1,67.04,90,Silver,Bangalore,8,3,29
Sedan,19024,Manual,2,Honda,Honda City,2019,i-VTEC V,0.5159996362825566,Zero Dep,Petrol,5,1497,2019,17.4,117.6,145,Brown,Bangalore,9,3,31
MUV,73000,Manual,1,Mahindra,Mahindra Xylo,2016,H8,0.5159638498032645,Comprehensive,Diesel,8,2179,2016,14.02,118.3,280,Red,Bangalore,9,3,24
Hatchback,73140,Manual,2,Maruti,Maruti Alto 800,2020,VXI Plus BSVI,0.5158684992510567,Comprehensive,Petrol,5,796,2020,22.05,47.33,69,Red,Bangalore,9,2,19
Hatchback,29289,Manual,1,Maruti,Maruti Swift,2015,VXI,0.5159110107063232,Comprehensive,Petrol,5,1197,2015,22.38,88.5,113,Silver,Bangalore,9,3,20
Sedan,39116,Automatic,1,Honda,Honda City,2016,i VTEC CVT VX,0.5159936318397224,Comprehensive,Petrol,5,1497,2016,18.0,117.3,145,Silver,Bangalore,9,3,30
Hatchback,41958,Manual,1,Maruti,Maruti Alto 800,2019,LXI Opt BSIV,0.5158665778293497,Third Party,Petrol,5,796,2019,24.7,47.3,69,Silver,Bangalore,9,3,27
SUV,26626,Manual,1,Honda,Honda WR-V,2018,i-VTEC S,0.5159722560232325,Third Party insurance,Petrol,5,1199,2018,17.5,88.7,110,Brown,Bangalore,9,3,26
Hatchback,63460,Automatic,1,Honda,Honda Jazz,2019,VX CVT,0.5159636096255511,Third Party insurance,Petrol,5,1199,2019,18.2,88.7,110,White,Bangalore,9,3,26
Hatchback,35711,Manual,1,Hyundai,Hyundai Santro,2019,Sportz BSIV,0.5159050062634889,Comprehensive,Petrol,5,1086,2019,20.3,68.0,99,Red,Bangalore,9,2,24
SUV,20057,Manual,1,Honda,Honda WR-V,2020,VX,0.5160046797743596,Comprehensive,Petrol,5,1199,2020,16.5,88.5,110,Brown,Bangalore,9,3,20
Hatchback,25396,Manual,1,Tata,Tata Altroz,2020,XZ BSVI,0.5159890684631683,Third Party insurance,Petrol,5,1199,2020,19.33,86.83,113,Golden,Bangalore,9,3,20
Hatchback,88000,Manual,1,Hyundai,Hyundai i20,2013,Asta 1.4 CRDi,0.5159038053749221,Comprehensive,Diesel,5,1396,2013,21.27,88.76,219,Brown,Bangalore,9,2,25
SUV,62000,Automatic,1,Jeep,Jeep Compass,2019,1.4 Limited Plus,0.5161631973053613,Third Party insurance,Petrol,5,1368,2019,14.1,160.77,250,Grey,Bangalore,9,2,26
Sedan,35993,Manual,1,Honda,Honda City,2020,VX MT,0.5160587200000455,Not Available,Petrol,5,1498,2020,18.6,119.35,145,PLATINUM WHITE PEARL,Bangalore,9,3,23
Hatchback,34000,Automatic,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Sportz Option AT,0.5159338275890933,Comprehensive,Petrol,5,1197,2017,18.9,81.86,0,Silver,Bangalore,9,3,28
SUV,51338,Manual,1,Honda,Honda WR-V,2019,i-VTEC VX,0.5159878675746015,Comprehensive,Petrol,5,1199,2019,17.5,88.7,110,Red,Bangalore,9,3,26
Hatchback,74280,Manual,1,Hyundai,Hyundai Grand i10,2015,Sportz,0.5158978009320878,Not Available,Petrol,5,1197,2015,18.9,82.0,114,Wine Red,Bangalore,9,3,26
SUV,82000,Automatic,1,Land Rover,Land Rover Range Rover Sport,2019,3.0 D SE,0.5180594003524149,Comprehensive,Diesel,5,2993,2019,12.65,296.0,400,Grey,Bangalore,9,3,27
Sedan,63773,Automatic,1,Audi,Audi A6,2015,35 TDI Technology,0.5163049021562495,Comprehensive,Diesel,5,1968,2015,17.68,174.33,380,Blue,Bangalore,9,3,29
Hatchback,101356,Manual,2,Hyundai,Hyundai Grand i10,2015,Sportz,0.515872582272184,Comprehensive,Petrol,5,1197,2015,18.9,82.0,114,Red,Bangalore,9,3,26
Hatchback,75591,Manual,1,Maruti,Maruti Alto 800,2020,LXI Opt S-CNG BSVI,0.5158788268927317,Third Party insurance,CNG,4,796,2020,0.0,40.36,60,Others,Bangalore,8,2,19
SUV,72208,Automatic,1,Hyundai,Hyundai Creta,2017,1.6 VTVT AT SX Plus,0.5160899431027836,Not Available,Petrol,5,1591,2017,13.0,121.3,151,Blue,Bangalore,9,3,24
Hatchback,51489,Manual,1,Maruti,Maruti Swift,2014,VXI,0.5158953991549542,Comprehensive,Petrol,5,1197,2014,22.38,88.5,113,Blue,Bangalore,9,3,20
Hatchback,74643,Automatic,1,Maruti,Maruti Ignis,2017,1.2 AMT Zeta BSIV,0.5159026044863553,Third Party insurance,Petrol,5,1197,2017,20.89,81.8,113,Others,Bangalore,9,3,25
SUV,44000,Automatic,2,BMW,BMW X5,2008,xDrive 30d,0.5161259697597891,Comprehensive,Diesel,5,2993,2008,15.3,258.0,560,Golden,Bangalore,9,2,26
Hatchback,79575,Automatic,1,Honda,Honda Jazz,2017,1.2 V AT i VTEC,0.5159256615468387,Comprehensive,Petrol,5,1199,2017,19.0,88.7,110,Silver,Bangalore,9,3,26
SUV,54097,Manual,1,Honda,Honda WR-V,2018,i-VTEC VX,0.515975858688933,Comprehensive,Petrol,5,1199,2018,17.5,88.7,110,White,Bangalore,9,3,26
Sedan,35288,Manual,2,Honda,Honda City,2018,i-VTEC VX,0.5159789809992068,Comprehensive,Petrol,5,1497,2018,17.4,117.6,145,Others,Bangalore,9,3,31
Hatchback,70314,Automatic,1,Maruti,Maruti Swift,2019,VXI AMT,0.5159261419022655,Zero Dep,Petrol,5,1197,2019,22.56,88.5,113,Silver,Bangalore,9,3,20
SUV,96939,Manual,2,Renault,Renault Duster,2017,110PS Diesel RxZ AWD,0.5159878675746015,Third Party insurance,Diesel,5,1461,2017,19.72,108.45,245,Black,Bangalore,9,3,29
Hatchback,44824,Manual,2,Nissan,Nissan Micra,2010,XE,0.5158713813836172,Comprehensive,Petrol,5,1198,2010,18.06,75.0,104,Red,Bangalore,7,3,30
MUV,169219,Manual,2,Toyota,Toyota Innova,2014,2.5 Z Diesel 7 Seater,0.5161017118107387,Third Party insurance,Diesel,7,2494,2014,12.99,100.6,200,Golden,Bangalore,9,3,26
Sedan,92673,Manual,2,Honda,Honda City,2012,E,0.5158978009320878,Third Party,Petrol,5,1497,2012,16.8,116.3,146,Taffeta White,Bangalore,9,3,25
SUV,79000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,350 CDI Blue Efficiency,0.5167624407002187,Comprehensive,Diesel,7,2987,2014,11.3,254.8,619,White,Bangalore,9,3,30
SUV,20183,Automatic,1,Jeep,Jeep Compass,2020,2.0 Longitude AT,0.5163037012676825,Zero Dep,Diesel,5,1956,2020,17.1,173.0,350,Minimal Grey,Bangalore,9,1,24
Sedan,77130,Automatic,1,Toyota,Toyota Yaris,2018,J CVT BSIV,0.515968653357532,Comprehensive,Petrol,5,1496,2018,17.8,105.5,140,White,Bangalore,9,3,23
SUV,45000,Automatic,1,Ford,Ford Ecosport,2017,1.5 Petrol Titanium Plus AT,0.5159638498032645,Comprehensive,Petrol,5,1496,2017,14.7,120.69,149,Brown,Bangalore,9,3,29
Hatchback,27025,Automatic,2,Maruti,Maruti Baleno,2017,Zeta CVT,0.5159566444718634,Third Party insurance,Petrol,5,1197,2017,19.56,81.8,113,Grey,Bangalore,9,3,28
SUV,105153,Manual,1,Kia,Kia Seltos,2019,GTK,0.5160479120029439,Third Party insurance,Petrol,5,1353,2019,16.1,138.0,0,White,Bangalore,9,2,25
SUV,70509,Manual,1,Mahindra,Mahindra XUV500,2016,W6 2WD,0.5160250951201738,Comprehensive,Diesel,7,2179,2016,16.0,140.0,330,Brown,Bangalore,9,3,25
Hatchback,11662,Automatic,2,Renault,Renault KWID,2020,1.0 RXT AMT Opt,0.5159174955045842,Zero Dep,Petrol,5,999,2020,22.0,67.0,91,Silver,Bangalore,9,3,22
Hatchback,36176,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Sportz BSIV,0.5159254213691253,Third Party insurance,Petrol,5,1197,2018,18.9,81.86,0,White,Bangalore,9,3,26
Hatchback,74342,Automatic,2,Honda,Honda Jazz,2015,1.2 V AT i VTEC,0.51591221159489,Third Party insurance,Petrol,5,1199,2015,19.0,88.7,110,Red,Bangalore,9,3,26
Hatchback,89837,Manual,1,Maruti,Maruti Baleno,2016,1.3 Alpha,0.5159482382518955,Third Party,Diesel,5,1248,2016,27.39,74.0,190,Silver,Bangalore,9,3,29
Hatchback,11912,Manual,2,Maruti,Maruti Swift,2015,VXI,0.5159062071520558,Third Party,Petrol,5,1197,2015,21.21,81.8,113,White,Bangalore,9,3,27
Hatchback,55544,Manual,2,Maruti,Maruti Swift,2012,VDI,0.5158848313355658,Third Party,Diesel,5,1248,2012,22.9,74.0,190,Red,Bangalore,9,3,31
SUV,27027,Automatic,1,Ford,Ford Ecosport,2019,1.5 Petrol Titanium Plus AT BSIV,0.5160222129876133,Comprehensive,Petrol,5,1497,2019,14.8,121.36,150,White,Bangalore,9,3,29
Sedan,56363,Automatic,1,Honda,Honda City,2017,i VTEC CVT VX,0.5159794613546336,Zero Dep,Petrol,5,1497,2017,18.0,117.3,145,Silver,Bangalore,9,3,30
Sedan,42094,Manual,2,Hyundai,Hyundai Verna,2016,1.6 VTVT S,0.5159347882999468,Comprehensive,Petrol,5,1591,2016,17.01,121.3,154,Others,Bangalore,9,3,26
SUV,114912,Manual,1,Kia,Kia Seltos,2019,GTK,0.5160479120029439,Comprehensive,Petrol,5,1353,2019,16.1,138.0,0,White,Bangalore,9,2,25
Hatchback,33649,Manual,1,Maruti,Maruti Swift,2016,VVT VXI,0.5159182160377243,Third Party insurance,Petrol,5,1197,2016,22.0,81.8,113,Red,Bangalore,9,3,22
SUV,54000,Manual,1,Kia,Kia Seltos,2019,HTK Plus G,0.5160779342171151,Comprehensive,Petrol,5,1497,2019,16.8,113.43,144,Orange,Bangalore,9,2,22
Sedan,69798,Manual,2,Hyundai,Hyundai Xcent,2014,1.2 Kappa S,0.5158917964892537,Comprehensive,Petrol,5,1197,2014,19.1,82.0,114,Silver,Bangalore,9,3,26
Hatchback,69000,Manual,2,Hyundai,Hyundai i10,2010,Sportz 1.2,0.5158521671665476,Comprehensive,Petrol,5,1197,2010,20.36,78.9,111,Red,Bangalore,9,2,27
SUV,49001,Automatic,1,Jeep,Jeep Compass,2020,2.0 Limited Plus AT,0.5163529376989234,Zero Dep,Diesel,5,1956,2020,17.1,173.0,350,White,Bangalore,9,1,24
Sedan,57527,Automatic,2,Hyundai,Hyundai Verna,2017,CRDi 1.6 AT SX Plus,0.5160383048944092,Comprehensive,Diesel,5,1582,2017,22.0,126.2,0,Fiery Red,Bangalore,9,2,24
Hatchback,57367,Manual,1,Fiat,Fiat Punto EVO,2015,1.3 Dynamic,0.5158917964892537,Comprehensive,Diesel,5,1248,2015,20.5,91.7,209,T Wine,Bangalore,9,3,24
Hatchback,50936,Manual,2,Maruti,Maruti Wagon R,2015,LXI BS IV,0.5158752239868534,Third Party insurance,Petrol,5,998,2015,20.51,67.04,90,White,Bangalore,9,3,27
Hatchback,23237,Manual,1,Hyundai,Hyundai i20,2022,Sportz Diesel,0.5160380647166958,Comprehensive,Diesel,5,1493,2022,25.0,98.63,0,White,Bangalore,9,2,19
Hatchback,66596,Automatic,1,Maruti,Maruti Celerio,2016,VXI AT Optional,0.5158845911578526,Comprehensive,Petrol,5,998,2016,23.1,67.04,90,Others,Bangalore,8,3,29
SUV,36613,Manual,1,Mahindra,Mahindra XUV500,2016,W10 AWD,0.51610963767528,Comprehensive,Diesel,7,2179,2016,16.0,140.0,330,Silver,Bangalore,9,3,27
Sedan,74104,Manual,1,Maruti,Maruti Swift Dzire,2015,VXI,0.5159220588811382,Third Party insurance,Petrol,5,1197,2015,20.85,83.14,115,White,Bangalore,9,3,29
Hatchback,6777,Manual,1,Hyundai,Hyundai Santro,2022,Sportz,0.5159203776371446,Zero Dep,Petrol,5,1086,2022,20.3,68.05,99,White,Bangalore,9,2,24
SUV,14560,Manual,1,Ford,Ford Ecosport,2020,1.5 Petrol Titanium Plus,0.5160082826802379,Comprehensive,Petrol,5,1496,2020,15.9,120.69,149,White,Bangalore,9,3,27
Hatchback,27000,Automatic,1,Maruti,Maruti S-Presso,2021,VXI Plus AT 2019-2022,0.5159158142605906,Comprehensive,Petrol,5,998,2021,21.7,67.05,90,White,Bangalore,9,3,20
Sedan,90333,Automatic,2,Honda,Honda City,2015,i VTEC CVT VX,0.5159528016284495,Comprehensive,Petrol,5,1497,2015,18.0,117.3,145,Silver,Bangalore,9,3,30
SUV,50114,Automatic,1,Mini,Mini Cooper Countryman,2019,Cooper S JCW Inspired,0.5166363474006996,Comprehensive,Petrol,5,1998,2019,16.6,189.08,280,Blue,Bangalore,9,3,30
SUV,69301,Manual,1,Maruti,Maruti Vitara Brezza,2017,ZDi Plus,0.5160087627954869,Comprehensive,Diesel,5,1248,2017,24.3,88.5,200,Silver,Bangalore,9,3,28
Hatchback,71306,Manual,1,Renault,Renault KWID,2021,1.0 RXT Opt,0.5158857920464194,Comprehensive,Petrol,5,999,2021,21.74,67.0,91,Blue,Bangalore,9,3,22
Hatchback,35135,Automatic,1,Maruti,Maruti Baleno,2019,Alpha CVT,0.5159816229540539,Third Party insurance,Petrol,5,1197,2019,19.56,81.8,113,Prime Star Gaze,Bangalore,9,3,28
Hatchback,40561,Manual,1,Maruti,Maruti Ritz,2016,LDi,0.5159062071520558,Third Party insurance,Diesel,5,1248,2016,23.2,73.94,190,White,Bangalore,8,3,27
Hatchback,90000,Manual,1,Hyundai,Hyundai i20,2012,1.2 Sportz Option,0.5158821891405411,Comprehensive,Petrol,5,1197,2012,17.0,0.0,0,Brown,Bangalore,9,3,28
Hatchback,60000,Automatic,2,Honda,Honda Jazz,2017,1.2 V AT i VTEC Privilege,0.5159422338090612,Comprehensive,Petrol,5,1199,2017,19.0,88.7,110,Grey,Bangalore,9,3,26
SUV,30000,Automatic,1,BMW,BMW X3,2019,xDrive 20d Luxury Line,0.5171587339272786,Comprehensive,Diesel,5,1995,2019,16.55,187.7,400,White,Bangalore,9,3,28
SUV,60000,Manual,2,Renault,Renault Duster,2016,85PS Diesel RxS,0.5159530418061629,Third Party insurance,Diesel,5,1461,2016,19.87,83.8,200,Brown,Bangalore,9,3,29
SUV,102000,Manual,1,Mahindra,Mahindra XUV500,2015,W10 2WD,0.5160527155572113,Comprehensive,Diesel,7,2179,2015,16.0,140.0,330,White,Bangalore,9,3,27
Hatchback,41659,Manual,2,Maruti,Maruti Wagon R,2015,VXI,0.5158761846977069,Third Party,Petrol,5,998,2015,18.9,67.1,90,Red,Bangalore,8,3,25
Sedan,85300,Automatic,2,Audi,Audi A4,2009,1.8 TFSI,0.5160359031172754,Comprehensive,Petrol,5,1781,2009,12.3,163.2,22,White,Bangalore,9,3,28
Sedan,32483,Automatic,2,Hyundai,Hyundai Verna,2017,1.6 VTVT AT SX,0.5159816229540539,Third Party insurance,Petrol,5,1591,2017,17.01,121.3,154,Red,Bangalore,9,3,27
Hatchback,34376,Manual,1,Hyundai,Hyundai i20,2018,1.2 Asta Dual Tone,0.5159576051827169,Third Party insurance,Petrol,5,1197,2018,18.6,81.83,114,Blue,Bangalore,9,3,28
SUV,36540,Manual,1,Hyundai,Hyundai Creta,2017,1.6 VTVT E Plus,0.5159871470414614,Third Party insurance,Petrol,5,1591,2017,15.29,121.3,151,Silver,Bangalore,9,3,24
Hatchback,148625,Manual,2,Hyundai,Hyundai i20,2011,1.2 Magna Opt,0.5158512064556942,Comprehensive,Petrol,5,1197,2011,17.0,0.0,0,Silver,Bangalore,9,3,28
Sedan,81000,Automatic,4,Audi,Audi A6,2013,3.0 TDI Quattro Premium Plus,0.5160166886600281,Third Party insurance,Diesel,5,2967,2013,14.57,241.38,500,Grey,Bangalore,9,3,29
Hatchback,5609,Manual,2,Hyundai,Hyundai i10,2013,Era,0.5158612939196556,Third Party insurance,Petrol,5,1086,2013,19.81,68.05,99,White,Bangalore,8,3,26
Sedan,37000,Automatic,1,Audi,Audi A3,2019,35 TFSI Premium Plus,0.5163601430303245,Third Party insurance,Petrol,5,1395,2019,19.2,150.0,250,Blue,Bangalore,9,3,30
SUV,6000,Manual,1,Hyundai,Hyundai Alcazar,2021,Prestige,0.5161920186309658,Comprehensive,Petrol,6,1999,2021,14.5,156.9,0,Silver,Bangalore,9,2,22
Sedan,61000,Manual,1,Renault,Renault Fluence,2013,Diesel E4,0.5158978009320878,Third Party,Diesel,5,1461,2013,21.8,0.0,240,Silver,Bangalore,9,2,22
Hatchback,30285,Automatic,2,Renault,Renault KWID,2018,1.0 AMT RXL,0.5158778661818781,Third Party insurance,Petrol,5,999,2018,24.04,67.0,91,Silver,Bangalore,9,3,24
Sedan,80153,Manual,2,Volkswagen,Volkswagen Vento,2011,Diesel Highline,0.5158735429830376,Third Party insurance,Diesel,5,1598,2011,20.54,103.6,250,White,Bangalore,9,3,26
Hatchback,49641,Automatic,1,Hyundai,Hyundai Grand i10,2016,Asta Option AT,0.515907648218336,Comprehensive,Petrol,5,1197,2016,18.9,82.0,114,Others,Bangalore,9,3,28
Hatchback,83075,Automatic,2,Maruti,Maruti Baleno,2016,1.2 CVT Delta,0.5159141330165969,Comprehensive,Petrol,5,1197,2016,21.4,83.1,115,Silver,Bangalore,9,3,27
Hatchback,45677,Manual,1,Maruti,Maruti Baleno,2018,1.2 Zeta,0.5159530418061629,Comprehensive,Petrol,5,1197,2018,21.4,83.1,115,Red,Bangalore,9,3,29
Hatchback,81849,Manual,1,Maruti,Maruti Celerio,2017,VXI Optional MT BSIV,0.5158848313355658,Comprehensive,Petrol,5,998,2017,23.1,67.04,90,White,Bangalore,8,3,29
Hatchback,67791,Manual,2,Maruti,Maruti Swift,2015,ZDI BSIV,0.5159309454565328,Comprehensive,Diesel,5,1248,2015,25.2,74.0,190,Silver,Bangalore,9,3,31
SUV,38100,Automatic,1,Volvo,Volvo XC40,2018,D4 R-Design,0.5166783785005393,Comprehensive,Diesel,5,1969,2018,18.0,190.0,400,Red,Bangalore,9,2,23
Hatchback,65015,Manual,1,Hyundai,Hyundai i20,2018,1.2 Asta Option,0.5159443954084816,Third Party insurance,Petrol,5,1197,2018,18.6,81.83,114,Others,Bangalore,9,3,28
SUV,47000,Automatic,2,Mercedes-Benz,Mercedes-Benz GLC,2018,220d 4MATIC Sport,0.5169065473282405,Comprehensive,Diesel,5,2143,2018,17.9,170.0,400,Blue,Bangalore,9,2,29
Hatchback,62029,Manual,1,Maruti,Maruti Swift,2014,VXI,0.5158961196880942,Third Party,Petrol,5,1197,2014,22.38,88.5,113,White,Bangalore,9,3,20
Hatchback,94926,Manual,1,Maruti,Maruti Swift,2017,VDI Optional,0.5159307052788195,Comprehensive,Diesel,5,1248,2017,25.2,74.0,190,Silver,Bangalore,9,3,27
Hatchback,119487,Manual,1,Hyundai,Hyundai i20,2012,1.2 Sportz,0.5158653769407829,Not Available,Petrol,5,1197,2012,17.0,0.0,0,Grey,Bangalore,9,3,28
SUV,126000,Manual,1,Mahindra,Mahindra Bolero,2019,SLX,0.515975858688933,Third Party insurance,Diesel,7,2523,2019,15.96,62.1,195,White,Bangalore,9,3,24
Sedan,70332,Manual,1,Volkswagen,Volkswagen Ameo,2017,1.5 TDI Highline,0.5159326267005264,Comprehensive,Diesel,5,1498,2017,21.66,108.62,250,Grey,Bangalore,9,2,27
Hatchback,37950,Manual,1,Maruti,Maruti Ignis,2017,1.2 Delta BSIV,0.5159182160377243,Third Party insurance,Petrol,5,1197,2017,20.89,81.8,113,Grey,Bangalore,9,3,22
Hatchback,38100,Manual,1,Hyundai,Hyundai i20,2019,Asta Option,0.5159782604660667,Comprehensive,Petrol,5,1197,2019,18.6,81.86,0,Silver,Bangalore,9,3,28
SUV,156039,Manual,2,Toyota,Toyota Fortuner,2012,4x4 MT,0.5161737648845719,Comprehensive,Diesel,7,2982,2012,12.55,168.5,343,Blue,Bangalore,9,3,29
Sedan,56000,Manual,2,Maruti,Maruti SX4,2008,Zxi BSIII,0.515856970720815,Third Party insurance,Petrol,5,1586,2008,15.0,104.68,145,Red,Bangalore,9,3,29
Hatchback,42000,Manual,2,Honda,Honda Brio,2014,S MT,0.5158797876035851,Comprehensive,Petrol,5,1198,2014,19.4,86.8,109,White,Bangalore,9,3,26
Hatchback,93003,Manual,1,Hyundai,Hyundai i20,2018,1.4 Asta Dual Tone,0.5159578453604303,Comprehensive,Diesel,5,1396,2018,22.54,88.73,219,Red,Bangalore,9,3,28
Hatchback,36000,Automatic,2,Hyundai,Hyundai Grand i10,2017,Asta Option AT,0.5159398320319275,Comprehensive,Petrol,5,1197,2017,18.9,82.0,114,White,Bangalore,9,3,28
SUV,20000,Automatic,1,Kia,Kia Sonet,2022,Turbo DCT Anniversary Edition,0.5160539164457781,Third Party insurance,Petrol,5,998,2022,0.0,118.36,0,Black,Chennai,9,2,22
Minivans,20687,Manual,1,Maruti,Maruti Eeco,2015,7 Seater Standard BSIV,0.5158773858264515,Comprehensive,Petrol,7,1196,2015,15.37,73.0,101,Grey,Chennai,8,3,28
SUV,30000,Manual,1,Nissan,Nissan Magnite,2021,Turbo XV Premium BSVI,0.5159578453604303,Third Party insurance,Petrol,5,999,2021,20.0,98.63,160,Others,Chennai,9,3,25
Hatchback,59247,Manual,1,Hyundai,Hyundai i10,2015,Sportz 1.1L,0.5158733028053242,Comprehensive,Petrol,5,1086,2015,19.81,68.05,99,Silver,Chennai,9,3,26
Hatchback,50000,Manual,1,Honda,Honda Jazz,2015,1.2 VX i VTEC,0.5159098098177564,Third Party insurance,Petrol,5,1199,2015,18.7,88.7,110,Others,Chennai,9,3,26
Sedan,20000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2016,E250 CDI Avantgarde,0.516570298529523,Comprehensive,Diesel,5,2143,2016,13.0,204.0,500,White,Chennai,9,3,29
Hatchback,29403,Automatic,1,Maruti,Maruti Celerio,2016,ZXI AT Optional,0.5158865125795595,Comprehensive,Petrol,5,998,2016,23.1,67.04,90,Blue,Chennai,9,3,29
Hatchback,42700,Manual,1,Maruti,Maruti A-Star,2010,Zxi,0.5158461627237134,Comprehensive,Petrol,5,998,2010,19.0,66.1,90,Grey,Chennai,9,3,27
SUV,23001,Automatic,1,BMW,BMW X3,2018,xDrive 20d Luxury Line,0.5169786006422514,Comprehensive,Diesel,5,1995,2018,16.55,187.7,400,Grey,Chennai,9,3,28
SUV,25925,Automatic,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium Plus AT BSIV,0.5159748979780795,Comprehensive,Petrol,5,1497,2018,14.8,121.36,150,Black,Chennai,9,3,29
Hatchback,20000,Manual,1,Hyundai,Hyundai i20,2021,Asta Opt BSVI,0.5159854657974677,Third Party insurance,Petrol,5,1197,2021,21.0,81.8,114,Blue,Chennai,9,2,20
Hatchback,17711,Automatic,1,Honda,Honda Jazz,2019,VX CVT,0.5159679328243918,Comprehensive,Petrol,5,1199,2019,18.2,88.7,110,Silver,Chennai,9,3,26
Sedan,50000,Automatic,1,BMW,BMW 3 Series,2020,320d Luxury Line,0.5167504318145502,Comprehensive,Diesel,5,1995,2020,20.37,187.74,400,White,Chennai,9,3,28
Hatchback,50000,Manual,1,Maruti,Maruti Swift,2018,VXI 2018,0.5159242204805585,Third Party insurance,Petrol,5,1197,2018,22.0,81.8,113,Others,Chennai,9,3,24
Hatchback,51125,Manual,2,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Magna BSIV,0.5159004428869349,Comprehensive,Petrol,5,1197,2018,18.9,81.86,0,White,Chennai,9,3,26
SUV,69233,Manual,1,Tata,Tata Nexon,2019,1.5 Revotorq XT,0.5159482382518955,Comprehensive,Diesel,5,1497,2019,21.5,108.5,260,Orange,Chennai,9,3,27
